iyear,property,country,attacktype1,targtype1,weaptype1
1970,0,217,3,1,6
1970,1,217,7,15,8
1970,1,217,3,1,6
1970,1,217,7,4,8
1970,1,217,3,4,6
1970,1,217,3,8,6
1970,1,217,3,1,6
1970,1,217,3,1,6
1970,1,217,7,1,8
1970,1,217,7,1,8
1970,0,158,1,7,5
1970,1,217,7,2,8
1970,-9,217,3,4,6
1970,1,217,7,2,8
1970,-9,217,7,4,8
1970,1,499,7,7,8
1970,1,217,7,4,8
1970,-9,217,3,8,6
1970,1,217,7,2,8
1970,-9,217,3,1,6
1970,1,217,7,2,8
1970,-9,217,3,4,6
1970,-9,217,7,4,8
1970,1,217,7,2,8
1970,0,217,7,4,8
1970,1,217,7,2,8
1970,1,217,7,15,8
1970,1,217,3,1,6
1970,1,217,7,4,8
1970,1,217,7,8,8
1970,1,217,3,2,6
1970,0,217,2,3,5
1970,1,499,7,1,8
1970,1,217,3,12,6
1970,1,199,3,6,6
1970,1,217,3,16,6
1970,1,217,7,2,8
1970,1,217,3,3,6
1970,1,217,3,4,6
1970,1,217,7,14,8
1970,-9,217,7,1,8
1970,-9,217,7,4,8
1970,1,217,3,8,6
1970,0,217,3,8,6
1970,1,217,7,1,8
1970,1,362,7,1,8
1970,1,218,1,4,5
1970,1,362,2,1,5
1970,0,217,3,1,6
1970,1,217,3,4,6
1970,1,217,7,2,8
1970,1,217,3,21,6
1970,0,217,7,2,8
1970,-9,217,7,8,8
1970,1,217,3,14,6
1970,1,217,8,17,9
1970,0,217,2,3,5
1970,1,217,3,3,6
1970,1,217,7,1,8
1970,1,217,7,1,8
1970,1,217,7,1,8
1970,1,217,3,2,6
1970,1,217,7,15,8
1970,1,217,7,15,8
1970,0,217,2,3,5
1970,0,217,3,2,6
1970,1,217,3,8,6
1970,1,217,7,8,8
1970,0,11,6,2,13
1970,1,218,2,4,5
1970,-9,217,3,14,6
1970,1,217,7,4,11
1970,1,217,3,1,6
1970,0,11,1,2,5
1970,1,160,3,6,6
1970,1,217,3,21,6
1970,1,217,1,14,6
1970,-9,217,7,2,8
1970,1,217,3,3,6
1970,1,217,3,4,6
1970,1,160,3,7,6
1970,1,362,2,1,5
1970,1,362,2,2,5
1970,1,217,7,1,2
1970,0,217,3,3,6
1970,0,102,9,4,13
1970,0,102,6,7,13
1970,1,217,3,3,6
1970,1,217,3,2,6
1970,1,217,3,4,6
1970,0,222,6,1,13
1970,1,94,3,6,6
1970,1,217,3,3,6
1970,1,102,5,1,5
1970,1,102,5,1,5
1970,1,217,7,2,8
1970,1,217,1,14,5
1970,0,102,1,4,13
1970,0,30,6,7,13
1970,1,94,3,6,6
1970,1,217,3,3,6
1970,1,218,9,7,13
1970,0,217,3,2,6
1970,0,217,2,3,5
1970,1,217,3,1,6
1970,1,217,3,1,6
1970,1,362,7,2,8
1970,1,362,7,2,8
1970,1,217,3,3,6
1970,-9,217,3,3,6
1970,1,217,7,8,8
1970,-9,217,7,13,8
1970,1,217,3,1,6
1970,1,217,3,1,6
1970,0,217,2,3,5
1970,0,217,2,3,5
1970,0,217,3,3,6
1970,1,362,7,2,8
1970,0,217,3,4,6
1970,1,217,3,1,6
1970,1,217,3,14,6
1970,1,603,2,17,8
1970,0,603,2,14,5
1970,0,603,2,14,5
1970,0,603,2,14,5
1970,0,603,2,15,5
1970,0,217,2,3,5
1970,1,217,3,8,6
1970,0,217,3,1,6
1970,1,217,2,3,5
1970,1,217,7,1,8
1970,1,217,7,1,8
1970,1,217,7,1,8
1970,1,217,7,1,8
1970,0,217,3,1,6
1970,1,217,7,15,8
1970,0,30,4,6,13
1970,1,217,3,14,6
1970,1,217,3,8,6
1970,1,217,3,7,6
1970,1,217,3,7,6
1970,1,217,3,7,6
1970,1,217,3,7,6
1970,1,217,3,1,6
1970,1,217,3,3,6
1970,0,217,3,14,6
1970,1,217,3,1,6
1970,1,217,3,1,6
1970,1,217,7,4,8
1970,1,217,3,8,6
1970,1,217,3,14,6
1970,-9,217,3,14,6
1970,0,217,1,14,5
1970,0,217,3,3,6
1970,1,217,3,14,6
1970,0,217,3,7,6
1970,1,217,3,1,6
1970,1,217,3,7,6
1970,1,217,3,1,6
1970,1,217,7,10,8
1970,1,362,7,2,8
1970,1,217,7,2,8
1970,0,45,6,2,13
1970,0,83,6,1,13
1970,0,217,2,14,5
1970,0,217,3,1,6
1970,1,217,7,12,8
1970,-9,217,7,4,8
1970,-9,217,7,12,8
1970,-9,217,7,4,8
1970,-9,217,7,2,8
1970,1,217,2,3,5
1970,1,217,3,1,6
1970,1,217,7,12,8
1970,0,26,6,1,13
1970,1,217,3,1,6
1970,1,217,3,3,6
1970,1,217,3,1,6
1970,0,78,4,6,5
1970,1,217,3,21,6
1970,-9,217,7,4,8
1970,0,145,6,1,13
1970,1,217,3,2,6
1970,0,30,6,7,13
1970,0,217,7,12,8
1970,0,217,1,1,6
1970,1,217,3,4,6
1970,1,217,3,1,6
1970,1,217,3,21,6
1970,1,217,3,16,6
1970,1,217,3,4,6
1970,1,217,3,4,6
1970,0,218,6,2,13
1970,1,217,3,1,6
1970,1,185,3,10,6
1970,1,217,3,2,6
1970,1,217,3,21,6
1970,0,218,6,7,13
1970,0,218,6,7,13
1970,0,218,6,2,13
1970,1,11,2,14,5
1970,-9,217,2,14,5
1970,1,142,2,7,5
1970,1,217,3,1,6
1970,0,21,3,7,6
1970,1,217,3,3,6
1970,1,217,3,1,6
1970,0,11,1,3,5
1970,1,217,3,1,6
1970,0,217,2,3,5
1970,1,499,3,2,6
1970,1,217,7,2,8
1970,1,217,6,2,5
1970,1,11,2,1,5
1970,1,217,7,2,8
1970,1,603,3,3,6
1970,1,499,3,3,6
1970,1,499,3,3,6
1970,0,217,1,14,5
1970,1,217,3,14,6
1970,1,217,3,4,6
1970,0,217,7,12,8
1970,0,218,6,2,13
1970,1,217,3,7,6
1970,1,217,7,2,8
1970,0,217,2,3,5
1970,1,218,5,16,5
1970,1,217,7,8,8
1970,1,217,3,3,6
1970,-9,217,7,4,8
1970,1,217,3,4,6
1970,0,130,6,7,13
1970,1,217,7,3,8
1970,1,499,3,1,6
1970,0,217,7,8,8
1970,1,217,3,8,6
1970,-9,217,7,4,8
1970,1,217,3,7,6
1970,1,217,7,1,8
1970,-9,217,7,2,8
1970,0,217,3,2,6
1970,1,217,3,7,6
1970,1,217,7,8,8
1970,1,209,3,4,6
1970,0,102,6,4,13
1970,1,218,7,1,8
1970,1,217,2,1,5
1970,1,78,3,7,6
1970,1,217,3,3,6
1970,1,217,3,1,6
1970,1,217,3,1,6
1970,0,217,3,14,6
1970,1,217,3,1,6
1970,1,218,1,2,6
1970,1,603,3,17,6
1970,0,217,3,1,6
1970,0,217,3,2,6
1970,1,217,3,3,6
1970,1,217,3,2,6
1970,1,362,4,6,6
1970,1,199,4,6,13
1970,1,142,4,6,5
1970,0,142,4,6,5
1970,0,217,3,3,6
1970,1,499,3,14,6
1970,1,11,3,7,6
1970,0,217,7,10,8
1970,1,217,7,8,8
1970,0,102,6,7,13
1970,1,218,3,1,6
1970,0,11,6,10,13
1970,0,603,6,7,13
1970,1,218,7,1,8
1970,1,218,7,1,8
1970,1,11,2,3,5
1970,0,217,2,3,5
1970,1,217,3,4,6
1970,0,217,2,3,5
1970,1,218,7,1,8
1970,1,217,3,2,6
1970,1,499,3,7,6
1970,1,217,3,4,6
1970,0,218,6,3,13
1970,1,217,3,7,6
1970,0,217,4,6,6
1970,0,603,2,14,5
1970,1,94,2,1,5
1970,1,217,7,14,8
1970,1,209,3,4,6
1970,1,217,3,8,6
1970,1,217,7,9,8
1970,1,209,3,7,6
1970,1,209,3,1,6
1970,0,38,6,2,13
1970,1,217,3,14,6
1970,1,217,3,8,6
1970,1,209,2,4,8
1970,1,217,3,17,6
1970,1,217,3,4,6
1970,1,217,3,4,6
1970,1,217,3,2,6
1970,1,217,3,8,6
1970,1,218,7,1,8
1970,1,362,3,7,6
1970,1,217,3,16,6
1970,0,38,6,2,5
1970,0,94,4,6,13
1970,1,217,3,2,6
1970,1,217,3,8,6
1970,1,362,3,3,6
1970,1,217,3,8,6
1970,1,218,7,10,8
1970,1,218,7,1,8
1970,1,218,7,6,8
1970,1,218,7,1,8
1970,1,217,3,3,6
1970,1,11,7,2,8
1970,1,362,3,3,6
1970,1,217,3,8,6
1970,1,217,3,8,6
1970,1,11,3,7,6
1970,1,217,7,2,8
1970,0,14,3,7,6
1970,1,217,2,3,5
1970,1,217,3,15,6
1970,0,217,2,3,5
1970,1,98,8,8,2
1970,1,217,7,1,8
1970,1,217,2,3,5
1970,1,217,3,2,6
1970,1,217,7,1,8
1970,0,11,1,14,13
1970,1,209,3,4,6
1970,1,603,7,6,8
1970,1,217,7,2,8
1970,1,217,3,3,6
1970,0,217,7,4,8
1970,1,217,3,4,6
1970,1,217,3,3,6
1970,1,217,3,4,6
1970,0,217,3,20,6
1970,0,94,6,7,13
1970,0,153,1,7,10
1970,1,217,3,10,6
1970,1,217,3,4,6
1970,0,217,2,14,5
1970,-9,217,7,4,8
1970,1,11,2,14,5
1970,1,11,2,14,5
1970,1,499,3,15,6
1970,1,217,7,1,8
1970,1,217,7,4,8
1970,0,217,2,14,5
1970,1,362,2,4,8
1970,1,209,7,6,8
1970,1,217,7,2,8
1970,1,217,3,1,6
1970,1,217,3,1,6
1970,1,217,3,1,6
1970,1,217,3,1,6
1970,0,11,1,3,5
1970,0,217,8,3,9
1970,0,603,2,14,5
1970,1,217,7,3,8
1970,1,11,3,2,6
1970,1,11,3,2,6
1970,1,11,2,4,5
1970,1,209,3,7,6
1970,1,218,2,1,5
1970,1,217,3,2,6
1970,1,217,3,14,6
1970,1,160,3,7,6
1970,0,217,3,20,6
1970,1,217,3,7,6
1970,1,209,3,7,6
1970,1,217,3,6,6
1970,1,217,3,18,6
1970,0,217,3,8,6
1970,0,217,3,4,6
1970,1,218,7,1,8
1970,1,362,2,4,8
1970,1,218,2,1,5
1970,0,185,6,7,13
1970,1,218,3,1,6
1970,1,218,3,1,6
1970,1,217,3,8,6
1970,0,30,6,7,13
1970,1,217,3,8,6
1970,1,218,3,1,6
1970,1,218,3,1,6
1970,1,217,3,1,6
1970,1,217,7,12,8
1970,1,217,3,1,6
1970,1,217,7,4,8
1970,1,218,3,8,6
1970,1,218,1,10,5
1970,1,217,7,2,8
1970,1,218,3,1,6
1970,-9,217,3,2,6
1970,1,217,3,4,6
1970,0,603,2,14,5
1970,1,209,3,4,6
1970,1,217,3,4,6
1970,0,209,2,3,5
1970,1,11,2,1,5
1970,1,185,3,16,6
1970,1,362,2,1,5
1970,1,217,3,2,6
1971,1,217,7,14,8
1971,1,362,3,3,6
1971,1,217,7,4,8
1971,-9,217,3,4,6
1971,1,217,7,12,8
1971,1,209,3,4,6
1971,0,218,6,7,13
1971,1,362,3,3,6
1971,1,217,3,7,6
1971,1,217,7,8,8
1971,1,217,7,8,8
1971,0,218,1,3,5
1971,1,209,2,1,5
1971,1,217,7,8,8
1971,1,217,7,2,8
1971,0,217,2,3,5
1971,1,362,7,3,8
1971,0,230,6,2,13
1971,1,217,3,4,6
1971,1,217,3,4,6
1971,1,362,3,7,6
1971,1,217,7,7,8
1971,1,217,3,3,6
1971,0,217,3,2,6
1971,1,217,7,14,8
1971,1,83,2,8,5
1971,0,209,3,7,6
1971,1,209,3,4,6
1971,0,65,4,6,13
1971,1,11,2,1,5
1971,0,217,2,3,9
1971,1,209,7,7,8
1971,1,209,3,4,6
1971,1,217,3,8,6
1971,1,218,2,8,5
1971,1,218,2,10,5
1971,1,218,2,8,5
1971,0,603,1,14,5
1971,1,58,2,8,5
1971,1,58,2,10,5
1971,0,362,3,2,6
1971,1,209,3,2,6
1971,1,217,3,2,6
1971,1,11,3,1,6
1971,1,209,3,2,6
1971,1,209,3,4,6
1971,0,218,6,1,13
1971,1,217,3,4,6
1971,1,217,7,2,8
1971,1,217,7,4,8
1971,1,362,3,8,6
1971,0,603,1,4,5
1971,0,603,1,14,5
1971,1,209,3,4,6
1971,1,94,2,3,5
1971,1,603,3,4,6
1971,0,217,3,8,6
1971,1,209,3,14,6
1971,0,198,2,7,5
1971,0,217,3,14,6
1971,0,222,6,1,13
1971,1,209,3,7,6
1971,1,160,3,7,6
1971,1,209,3,14,6
1971,1,217,7,4,8
1971,1,217,3,4,6
1971,1,217,7,2,8
1971,0,209,6,4,13
1971,0,603,1,4,5
1971,1,217,3,1,6
1971,1,217,3,1,6
1971,0,217,3,4,6
1971,0,217,7,1,8
1971,0,217,7,1,8
1971,0,209,3,4,6
1971,1,209,3,8,6
1971,1,209,3,4,6
1971,0,49,6,14,13
1971,0,209,3,7,6
1971,0,217,2,3,5
1971,0,222,6,1,13
1971,1,209,2,7,8
1971,1,217,3,1,6
1971,0,603,1,3,5
1971,1,217,7,4,8
1971,1,217,3,1,6
1971,-9,217,3,2,6
1971,1,160,3,1,6
1971,1,160,3,4,6
1971,0,222,6,1,13
1971,1,217,3,1,6
1971,1,217,3,2,6
1971,1,217,3,8,6
1971,1,217,7,7,8
1971,1,217,3,21,6
1971,1,217,3,1,6
1971,0,209,6,4,13
1971,1,217,7,8,8
1971,1,217,7,15,8
1971,1,217,7,15,8
1971,0,217,7,15,8
1971,1,217,7,15,8
1971,0,603,1,17,5
1971,1,217,3,2,6
1971,1,217,3,4,6
1971,1,217,3,3,6
1971,1,362,2,1,5
1971,0,218,6,2,13
1971,1,362,3,2,6
1971,0,603,1,4,5
1971,1,217,3,14,6
1971,1,217,3,3,6
1971,1,209,3,1,6
1971,1,209,3,10,6
1971,1,142,3,21,6
1971,1,218,2,10,5
1971,-9,217,7,2,8
1971,0,217,3,2,6
1971,1,217,7,4,8
1971,1,185,3,1,6
1971,-9,217,3,4,6
1971,1,362,7,1,8
1971,1,217,7,1,8
1971,1,217,7,8,8
1971,1,217,3,1,6
1971,1,217,3,8,6
1971,1,217,7,1,8
1971,1,98,3,7,6
1971,1,209,2,14,8
1971,1,217,3,21,6
1971,1,11,3,10,6
1971,1,209,3,8,6
1971,1,217,3,3,6
1971,1,217,3,14,6
1971,0,160,4,6,5
1971,1,217,3,14,6
1971,-9,217,7,4,8
1971,0,94,9,4,13
1971,1,94,3,4,6
1971,1,94,2,3,5
1971,1,217,3,2,6
1971,1,102,3,21,6
1971,1,185,3,10,6
1971,1,217,2,3,5
1971,1,185,3,8,6
1971,1,217,7,1,8
1971,0,217,6,14,5
1971,1,217,7,2,8
1971,1,217,3,1,6
